company_name,website,representative,employees,founded,capital,type_url
株式会社インフォース,https://www.inforce.ne.jp/index.html,内田 悠,,平成15年7月24日,,https://type.jp/job-company/45982/
株式会社アイ・エス・ビー,https://www.isb.co.jp/,代表取締役社長 若尾 一史,"2,752名 連結（2025年12月31日現在）",1970年（昭和45年）6月,"24億2,603万円（2026年4月27日現在）",https://type.jp/job-company/46009/
ＳＢペイメントサービス株式会社,https://www.sbpayment.co.jp/,代表取締役社長 兼 CEO 榛葉 淳,,2004年10月1日,"6,075百万円（資本準備金6,075百万円） ソフトバンク株式会社100％出資",https://type.jp/job-company/46180/
株式会社イコー保安サービス,https://iko-security.com/,代表取締役会長 井崎弘子,約900名（関連会社含む）,昭和60年5月10日,"3,000万円",https://type.jp/job-company/46297/
株式会社Widsley,https://widsley.com,代表取締役 髙橋 弘考,平均年齢／28歳,2013年,"708,000,000 円（資本準備金含む）",https://type.jp/job-company/46483/
オックスフォードパートナーズ株式会社,https://oxford-partners.jp/,森 エミリ,112名（一部業務委託含む）,2022年4月,300万円,https://type.jp/job-company/46489/
アマノホーム株式会社,https://amanohome2024.com/#company,代表取締役 天野 裕二,,2024年 11月,"5,000,000円",https://type.jp/job-company/46523/
オープン株式会社,https://open.co.jp/,代表取締役執行役員社長 石井 岳之,,2013年7月,30百万円（2024年6月1日時点）,https://type.jp/job-company/46582/
株式会社エス・エム・エス【ポジションマッチ登録】,,代表取締役社長 後藤 夏樹,"連結：4,528人、単体：3,049人（2025年3月31日時点）",2003年4月4日,"25億5,172万円（2025年3月31日時点）",https://type.jp/job-company/46661/
オプテラ株式会社,https://opterra.co.jp,福島健二,,2025年3月12日,2500万円,https://type.jp/job-company/46739/
株式会社ＮＮＣグループ,https://nncg.jp/,CEO 金子 幸裕,252名,2010年4月,"2,000万円",https://type.jp/job-company/46745/
株式会社ＡＩメタバース,,佐藤 和奏,92名,2024年1月,500万円,https://type.jp/job-company/46750/
株式会社ＩＴエグゼクティブ,https://it-executive.jp/,代表者 菅原 秀平,100名（業務委託含む）,2021年3月,300万円,https://type.jp/job-company/46751/
株式会社Ａｔｏｍｓ,,代表取締役社長 原子和磨,65名（2025年3月時点）,2022年,2000万円,https://type.jp/job-company/46839/
株式会社WAVESYNC,https://www.wavesync.co.jp/,代表取締役 安達正樹,30名,2010年,"10,000,000円",https://type.jp/job-company/46897/
株式会社エンジニアキャピタル,https://www.engineer-capital.jp/,代表者 堀江 昂汰,,2024年1月,"550万8,900円",https://type.jp/job-company/46963/
株式会社イフ,https://www.ifnet.co.jp/,代表取締役社長 川﨑 芳清 ／ 常務取締役 泉 雅子,35名,1988年6月,1億円,https://type.jp/job-company/47058/
株式会社アトラックＮＥＯ,https://www.atluckneo.jp/,野村 佳寿,13名,2012年5月31日,1000万円,https://type.jp/job-company/47072/
アワーズシップ株式会社,https://oursship.co.jp/,代表取締役 塩田悠麻,27名(業務委託含む),2024年6月21日,1000万円,https://type.jp/job-company/47166/
株式会社SC direct,https://sc-direct.co.jp/company,代表取締役 桝本 彩香,100名（2026年6月現在）,2024年10月7日,"2,000万円",https://type.jp/job-company/47198/
株式会社Article IT Works,https://articleitworks.com/,代表取締役 川越 直人,,2024年6月,"1,000,000円",https://type.jp/job-company/47248/
ＦＪＵＴプラス株式会社,https://www.ut-g.co.jp/fup/top/,代表取締役社長／森川 弘二,1839名（2025年10月末時点）,1980年10月 ※富士通株式会社全額出資で富士通アプリコ株式会社として設立,1億円,https://type.jp/job-company/47401/
株式会社オープンアップシステム【東証プライム上場グループ】,https://www.openupsystem.co.jp/,代表取締役社長 細井 篤,651名,1996年12月,30百万円,https://type.jp/job-company/47510/
株式会社ｅ‐Ｍｉｎｔ,https://www.emint.co.jp/,代表 青山 恭和,15名(業務委託を含む),2024年11月12日,990万円,https://type.jp/job-company/47514/
株式会社インフレーション,https://inflation.co.jp/,代表取締役 魚澤 克樹,103名（一部業務委託含む）※2026年6月時点,2025年,500万円,https://type.jp/job-company/47547/
株式会社ＡＳＳＩＳＴ,https://assist-sports.com/,代表取締役社長 CEO 大津 祐樹,平均年齢／28歳,2019年9月,2000万円,https://type.jp/job-company/47549/
株式会社ＡＩクラウド,,代表取締役 上田 郷,51名,2024年3月,500万円,https://type.jp/job-company/47553/
株式会社ＡＩ INNOVATION,https://aiinnovation.jp/,代表取締役 遠藤 皇士,80名（2026年8月時点）,2023年12月,"2,000万円",https://type.jp/job-company/47570/
伊藤忠テクノソリューションズ株式会社【ポジションマッチ登録】,https://www.ctc-g.co.jp/,代表取締役社長 新宮 達史,"単体 5,983名、CTCグループ 12,222名（2025年4月1日現在）",1979年7月11日,"21,764000000円",https://type.jp/job-company/47685/
アシスト合同会社,,藤田 真一郎,27名,令和元年10月,,https://type.jp/job-company/47810/
アイアール株式会社,https://www.ir-inc.net/,大山 竜吾（TikTokアカウント @oyamashacho_ir）,1566人（2026年7月時点）,2015年1月,"2,000万円",https://type.jp/job-company/47902/
ＡＩＧ損害保険株式会社,https://www.aig.co.jp/sonpo,代表取締役社長 兼 CEO ジェームス・ナッシュ,"6,061名（専属営業社員含む／2025年3月31日時点）",1946年 ※2018年1月1日、AIG損害保険株式会社として営業を開始しました。,137億円,https://type.jp/job-company/47904/
株式会社Asovi,https://asovigroup.co.jp/,嶋村圭介,46名,2017年,"1,000万円",https://type.jp/job-company/47918/
エルガーホールディングス合同会社,https://elgar-hd.jp/,代表取締役社長 大谷 憲弘,28名,2018年 9月,900万円,https://type.jp/job-company/47973/
株式会社あかつき興産,https://www.akatsuki-k.jp/company.php,代表取締役：荻原雄,25名(2026年7月現在),2023年5月,980万円,https://type.jp/job-company/47981/
株式会社イデア,https://www.kk-idea.com/,大村 直己,,,900万円,https://type.jp/job-company/47994/
